Date,Close
06/04/2016,1.2384
07/04/2016,1.2386
08/04/2016,1.2366
11/04/2016,1.2464
12/04/2016,1.2491
13/04/2016,1.259
14/04/2016,1.2554
15/04/2016,1.2551
18/04/2016,1.26
19/04/2016,1.2659
20/04/2016,1.2711
21/04/2016,1.2702
22/04/2016,1.2822
25/04/2016,1.2868
26/04/2016,1.2899
27/04/2016,1.2856
28/04/2016,1.2878
29/04/2016,1.2791
03/05/2016,1.2634
04/05/2016,1.2601
05/05/2016,1.2718
06/05/2016,1.2635
09/05/2016,1.2634
10/05/2016,1.2694
11/05/2016,1.2653
12/05/2016,1.272
13/05/2016,1.27
16/05/2016,1.2712
17/05/2016,1.2764
18/05/2016,1.2961
19/05/2016,1.3017
20/05/2016,1.2946
23/05/2016,1.2915
24/05/2016,1.3091
25/05/2016,1.3202
26/05/2016,1.3127
27/05/2016,1.3129
31/05/2016,1.3077
01/06/2016,1.2898
02/06/2016,1.2947
03/06/2016,1.2814
06/06/2016,1.2726
07/06/2016,1.2823
08/06/2016,1.2773
09/06/2016,1.2771
10/06/2016,1.2687
13/06/2016,1.2639
14/06/2016,1.2589
15/06/2016,1.2634
16/06/2016,1.2617
17/06/2016,1.2709
20/06/2016,1.296
21/06/2016,1.3018
22/06/2016,1.3018
23/06/2016,1.3039
24/06/2016,1.2254
27/06/2016,1.1986
28/06/2016,1.2054
29/06/2016,1.2177
30/06/2016,1.2081
01/07/2016,1.192
04/07/2016,1.1929
05/07/2016,1.175
06/07/2016,1.1639
07/07/2016,1.168
08/07/2016,1.1743
11/07/2016,1.1759
12/07/2016,1.1909
13/07/2016,1.1903
14/07/2016,1.1998
15/07/2016,1.1952
18/07/2016,1.2006
19/07/2016,1.193
20/07/2016,1.1969
21/07/2016,1.2017
22/07/2016,1.1917
25/07/2016,1.1961
26/07/2016,1.1944
27/07/2016,1.1936
28/07/2016,1.1838
29/07/2016,1.1867
01/08/2016,1.1823
02/08/2016,1.1859
03/08/2016,1.1924
04/08/2016,1.1786
05/08/2016,1.1797
08/08/2016,1.1774
09/08/2016,1.1694
10/08/2016,1.1656
11/08/2016,1.16
12/08/2016,1.1572
15/08/2016,1.1499
16/08/2016,1.1517
17/08/2016,1.1538
18/08/2016,1.162
19/08/2016,1.1527
22/08/2016,1.1604
23/08/2016,1.1645
24/08/2016,1.1779
25/08/2016,1.1692
26/08/2016,1.1703
30/08/2016,1.1744
31/08/2016,1.1765
01/09/2016,1.1883
02/09/2016,1.1923
05/09/2016,1.1931
06/09/2016,1.1947
07/09/2016,1.1866
08/09/2016,1.181
09/09/2016,1.1827
12/09/2016,1.1861
13/09/2016,1.1726
14/09/2016,1.172
15/09/2016,1.1735
16/09/2016,1.1718
19/09/2016,1.168
20/09/2016,1.1597
21/09/2016,1.1632
22/09/2016,1.1649
23/09/2016,1.1552
26/09/2016,1.1515
27/09/2016,1.1598
28/09/2016,1.1607
29/09/2016,1.156
30/09/2016,1.1558
03/10/2016,1.1442
04/10/2016,1.1429
05/10/2016,1.1376
06/10/2016,1.1321
07/10/2016,1.1154
10/10/2016,1.1093
11/10/2016,1.1058
12/10/2016,1.1064
13/10/2016,1.1054
14/10/2016,1.1082
17/10/2016,1.106
18/10/2016,1.1212
19/10/2016,1.1204
20/10/2016,1.1206
21/10/2016,1.1218
24/10/2016,1.1215
25/10/2016,1.1173
26/10/2016,1.121
27/10/2016,1.1155
28/10/2016,1.1115
31/10/2016,1.1142
01/11/2016,1.1066
02/11/2016,1.1076
